Dept Code,Dept Name,Function,Sub-function,Programme group code,Programme group name,ID or Non-ID,CAP or CUR,Sector,NUTS 1 region,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_South East,0.03,0.03,0.03,0.03,1.83,2.39
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_London,0.03,0.03,0.03,0.03,1.69,2.21
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_North West,0.03,0.03,0.03,0.03,1.55,2.03
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_Eastern,0.02,0.02,0.02,0.02,1.24,1.62
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_West Midlands,0.02,0.02,0.02,0.02,1.21,1.59
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_Yorkshire & Humberside,0.02,0.02,0.02,0.02,1.15,1.5
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_South West,0.02,0.02,0.02,0.02,1.12,1.47
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_East Midlands,0.02,0.02,0.02,0.02,0.96,1.26
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,ENGLAND_North East,0.01,0.01,0.01,0.01,0.58,0.76
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CAP,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_South East,25.71,15.3,15.3,7.36,14.42,0.44
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_London,23.7,14.06,14.06,6.82,13.25,0.41
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_North West,21.79,12.93,12.93,6.27,12.18,0.38
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_Eastern,17.34,10.29,10.29,4.99,9.69,0.3
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_West Midlands,17.02,10.1,10.1,4.89,9.51,0.29
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_Yorkshire & Humberside,16.06,9.53,9.53,4.62,8.98,0.28
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_South West,15.75,9.34,9.34,4.53,8.8,0.27
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_East Midlands,13.52,8.02,8.02,3.89,7.56,0.23
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,ENGLAND_North East,8.11,4.81,4.81,2.33,4.53,0.14
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33701,EP:150 Environment Agency - Water Resources,ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_North East,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_North West,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_Yorkshire & Humberside,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_East Midlands,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_West Midlands,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_South West,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_Eastern,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_London,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,ENGLAND_South East,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CAP,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_South West,19.94,19.95,22.21,23.28,32.86,48.53
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_Eastern,10.77,10.99,11.83,14.01,23.86,36.89
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_East Midlands,11.64,11.58,12.17,14.85,22.14,33.78
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_Yorkshire & Humberside,19.02,19.07,19.6,14.47,21.35,32.42
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_South East,10.6,10.4,11.23,12.94,20.92,31.94
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_North West,13.22,12.98,12.52,15.04,18.86,27.48
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_West Midlands,9.18,9.16,9.85,9.64,15.3,23.05
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_London,4.43,4.12,3.99,5.62,11.27,17.84
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,ENGLAND_North East,3.94,4.01,4.23,5.49,9.09,13.47
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33608,DO:070 Front Line Services (RPA),ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_Eastern,256.84,226.84,198.35,254.89,320.32,351.03
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_South West,331.94,295.89,263.83,277.78,307.32,336.79
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_East Midlands,231.11,201.54,177.41,227.45,262.13,287.27
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_South East,230.28,196.48,173.95,217.68,258.33,283.1
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_Yorkshire & Humberside,423.6,369.47,330.26,223.54,253.73,278.06
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_West Midlands,184.22,161.05,143.88,136.37,171.36,187.79
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_London,107.46,86.4,75.09,109.6,163.96,179.68
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_North West,219.7,190.69,144.04,157.41,158.96,174.2
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,ENGLAND_North East,89.42,79.17,67.37,78.79,103.37,113.29
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33607,AF:160 RPA - Direct payments under CAP,ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_South West,0,0,42.93,42.25,51.09,42
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_North West,0,0,17.41,45.52,35.11,28.86
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_Yorkshire & Humberside,0,0,12.71,25.39,25.76,21.18
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_South East,0,0,18.4,11.76,23.66,19.45
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_Eastern,0,0,22.04,15.55,21.92,18.02
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_North East,0,0,7.96,22.47,21.42,17.61
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_West Midlands,0,0,13.73,17.71,20.23,16.63
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_East Midlands,0,0,14.56,17.22,19.68,16.18
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,ENGLAND_London,0,0,0.5,0.48,0.57,0.47
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33604,EA:100 RPA - ERDP,ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_South West,149.97,121.06,111.81,133.62,113,109.17
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_North West,100.31,80.97,74.78,89.37,75.58,73.02
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_East Midlands,50.69,40.92,37.79,45.16,38.19,36.9
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_West Midlands,37.85,30.56,28.22,33.73,28.52,27.55
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_Yorkshire & Humberside,37.19,30.02,27.73,33.14,28.03,27.07
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_South East,26.09,21.06,19.45,23.24,19.66,18.99
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_North East,5.8,4.68,4.33,5.17,4.37,4.22
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_Eastern,3.5,2.82,2.61,3.12,2.64,2.55
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,ENGLAND_London,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Market support under CAP,33603,EA:090 RPA - Market support under CAP - BSE/OTMS,ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_Yorkshire & Humberside,13.2,13.5,13.72,13.23,14.12,15.35
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_South West,8.19,8.37,8.5,8.21,9.21,10.05
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_Eastern,9.17,9.11,9.79,8.42,9.01,9.04
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_West Midlands,6.73,7.06,6.8,7.27,8.55,7.31
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_North East,2.68,2.89,2.63,3.12,3.87,3.82
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_East Midlands,3.67,3.63,3.93,3.32,2.49,2.35
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_South East,1.57,1.57,1.69,1.45,1.74,1.7
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_North West,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,ENGLAND_London,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CUR,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_Yorkshire & Humberside,-0.01,0,0,0,0,0.25
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_South West,-0.01,0,0,0,0,0.16
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_Eastern,-0.01,0,0,0,0,0.15
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_West Midlands,0,0,0,0,0,0.12
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_North East,0,0,0,0,0,0.06
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_East Midlands,0,0,0,0,0,0.04
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_South East,0,0,0,0,0,0.03
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_North West,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,ENGLAND_London,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33507,MLC NDPB Meat and Livestock Commission.,ID,CAP,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33506,SFI NDPB Sea Fish Industry.,ID,CUR,CG,ENGLAND_South East,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33506,SFI NDPB Sea Fish Industry.,ID,CUR,CG,ENGLAND_London,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33506,SFI NDPB Sea Fish Industry.,ID,CUR,CG,ENGLAND_North West,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33506,SFI NDPB Sea Fish Industry.,ID,CUR,CG,ENGLAND_Eastern,0,0,0,0,0,0
3,DEFRA               ,"Agriculture, fisheries and forestry",Other agriculture food fisheries policy,33506,SFI NDPB Sea Fish Industry.,ID,CUR,CG,ENGLAND_West Midlands,0,0,0,0,0,0
